#HI4PI cube SIN_,channel,square l, square b, angle, size
# angle: angle of east side of box compared to the line pointing towards the galactic north (measured increasing to the east) in degrees
# size: approximate length of one side of square in degrees
H03,525,61.470885,62.004886,30,4.5
H03,524,61.470885,62.004886,30,4.5
H03,523,61.470885,62.004886,30,4.5
H03,522,61.470885,62.004886,30,4.5
H03,502,59.838465,56.786366,30,4.5
H03,503,59.838465,56.786366,30,4.5
H04,70,120.79345,55.373022,70,4.5
H04,71,120.79345,55.373022,70,4.5
H04,140,120.79345,55.373022,70,4.5
H04,141,120.79345,55.373022,70,4.5
H04,142,120.79345,55.373022,70,4.5
H04,558,95.302247,66.468962,70,4.5
H04,557,95.302247,66.468962,70,4.5
H04,556,95.302247,66.468962,70,4.5
H04,555,95.302247,66.468962,70,4.5
H04,554,95.302247,66.468962,70,4.5
H04,553,95.302247,66.468962,70,4.5
H04,552,95.302247,66.468962,70,4.5
H04,499,95.302247,66.468962,70,4.5
H04,498,95.302247,66.468962,70,4.5
H04,497,95.302247,66.468962,70,4.5
H04,496,95.302247,66.468962,70,4.5
H04,495,95.302247,66.468962,70,4.5
H04,494,95.302247,66.468962,70,4.5
H04,487,86.596879,69.926627,70,4.5
H04,488,86.596879,69.926627,70,4.5
H04,489,86.596879,69.926627,70,4.5
H04,490,86.596879,69.926627,70,4.5
H04,491,86.596879,69.926627,70,4.5
H04,492,86.596879,69.926627,70,4.5
H04,493,86.596879,69.926627,70,4.5
H04,494,86.596879,69.926627,70,4.5
H04,495,86.596879,69.926627,70,4.5
H04,496,86.596879,69.926627,70,4.5
H04,497,86.596879,69.926627,70,4.5
H04,498,86.596879,69.926627,70,4.5
H04,499,86.596879,69.926627,70,4.5
H04,500,86.596879,69.926627,70,4.5
H04,501,86.596879,69.926627,70,4.5
H04,502,86.596879,69.926627,70,4.5
H04,503,86.596879,69.926627,70,4.5
H04,504,86.596879,69.926627,70,4.5
H04,505,86.596879,69.926627,70,4.5
H04,506,86.596879,69.926627,70,4.5
H04,507,86.596879,69.926627,70,4.5
H04,525,125.51032,64.906124,70,4.5
H04,524,125.51032,64.906124,70,4.5
H04,523,125.51032,64.906124,70,4.5
H04,522,125.51032,64.906124,70,4.5
H04,521,125.51032,64.906124,70,4.5
H04,520,125.51032,64.906124,70,4.5
H04,519,125.51032,64.906124,70,4.5
H04,518,125.51032,64.906124,70,4.5
H04,517,125.51032,64.906124,70,4.5
H04,516,125.51032,64.906124,70,4.5
H04,515,125.51032,64.906124,70,4.5
H04,514,125.51032,64.906124,70,4.5
H04,513,125.51032,64.906124,70,4.5
H04,512,125.51032,64.906124,70,4.5
H04,491,93.371383,51.114753,50,4.5
H04,492,93.371383,51.114753,50,4.5
H04,493,93.371383,51.114753,50,4.5
H04,494,93.371383,51.114753,50,4.5
H04,495,93.371383,51.114753,50,4.5
H04,490,109.77081,69.05967,70,4.5
H04,491,109.77081,69.05967,70,4.5
H04,492,109.77081,69.05967,70,4.5
H04,493,109.77081,69.05967,70,4.5
H04,494,109.77081,69.05967,70,4.5
H04,495,109.77081,69.05967,70,4.5
H04,516,109.77081,69.05967,70,4.5
H04,517,109.77081,69.05967,70,4.5
H04,518,109.77081,69.05967,70,4.5
H04,519,109.77081,69.05967,70,4.5
H04,520,109.77081,69.05967,70,4.5
H04,521,109.77081,69.05967,70,4.5
H04,522,109.77081,69.05967,70,4.5
H04,523,109.77081,69.05967,70,4.5
H04,524,109.77081,69.05967,70,4.5
H05,70,121.73517,55.436579,0,4.5
H05,71,121.73517,55.436579,0,4.5
H05,489,130.32078,54.588579,20,4.5
H05,490,130.32078,54.588579,20,4.5
H05,491,130.32078,54.588579,20,4.5
H05,492,130.32078,54.588579,20,4.5
H05,493,130.32078,54.588579,20,4.5
H05,494,130.32078,54.588579,20,4.5
H05,495,130.32078,54.588579,20,4.5
H05,496,130.32078,54.588579,20,4.5
H05,497,130.32078,54.588579,20,4.5
H05,498,130.32078,54.588579,20,4.5
H05,500,130.32078,54.588579,20,4.5
H05,501,130.32078,54.588579,20,4.5
H05,502,130.32078,54.588579,20,4.5
H05,503,130.32078,54.588579,20,4.5
H05,504,130.32078,54.588579,20,4.5
H05,505,130.32078,54.588579,20,4.5
H05,506,130.32078,54.588579,20,4.5
H05,507,130.32078,54.588579,20,4.5
H05,508,130.32078,54.588579,20,4.5
H05,509,130.32078,54.588579,20,4.5
H05,510,130.32078,54.588579,20,4.5
H05,490,137.69961,52.975035,20,4.5
H05,491,137.69961,52.975035,20,4.5
H05,492,137.69961,52.975035,20,4.5
H05,493,137.69961,52.975035,20,4.5
H05,494,137.69961,52.975035,20,4.5
